scientific_name,common_name,category,added_by
Cephalophus natalensis,red forest duiker,animal,BP
Ceratonia siliqua,carob bean,plant,JL
Cereus repandus†,Peruvian apple cactus,plant,JL
Cervus canadensis,elk,animal,BP
Chamaedorea tepejilote,pacaya,plant,JL
Chenopodium pallidicaule,CaÒihua†,plant,JL
Chenopodium quinoa,quinoa,plant,BP
Chionoecetes,snow crab,animal,JL
Cicer arietinum,chickpea,plant,BP
Cichorium endivia ,endive,plant,JL
Cichorium intybus ,chicory,plant,JL
Cinnamomum verum ,ceylon cinnamon,plant,BP
Citharichthys,Sanddab,animal,JL
Citrullus lanatus,watermelon,plant,BP
Citrus aurantiifolia,key lime,plant,BP
Citrus latifolia,persian lime,plant,BP
Citrus limon,lemon,plant,BP
Citrus maxima,pomelo,plant,BP
Citrus reticulata,mandarin orange,plant,BP
Citrus sinensis,sweet orange,plant,BP
Citrus x aurantium,"bitter orange, seville orange",plant,BP
Citrus x paradisi,grapefruit,plant,BP
Pinnipedia,seal,animal,JL
Selachimorpha,Shark,animal,JL
Paracentrotus lividus,purple sea urchin (atlantic),animal,BP
Strongylocentrotus droebachiensis,green sea urchin,animal,BP
Eucidaris tribuloides,slate pencil urchin,animal,BP
Mesocentrotus franciscanus,red sea urchin,animal,BP
Strongylocentrotus purpuratus,purple sea urchin (pacific),animal,BP
Evechinus chloroticus,kina (new zealand urchin),animal,BP
Holothuroidea,sea cucumber,animal,JL
Pinospida,pine cones,plant,JL
Cleome gynandra,"shona cabbage, african cabbage",plant,BP
Cocos nucifera,coconut,plant,BP
Coffea,coffee bean,plant,BP
Coffea arabica,coffee bean,plant,BP
Coffea canephora,robusta coffee,plant,BP
Colocasia esculenta,taro,plant,BP
Colocasia esculenta antiquorum,"malanga, eddo",plant,JL
Concholepas concholepas,"loco, Chilean abalone",animal,JL
Corchorus capsularis,white jute,plant,BP
Corchorus olitorius,jute mallow,plant,BP
Coregonus†,Whitefish,animal,JL
Coriandrum sativum,"coriander, cilantro",plant,BP
Corryocactus,Erdisia,plant,JL
Corylus avellana,hazelnut,plant,BP
Coryphaena hippurus,"Mahi Mahi, common dolphinfish",animal,JL
Coryphantha,beehive cactus,plant,JL
Coturnix japonica,japanese quail,animal,BP
Craterellus cornucopioides,"black trumpet, horn of plenty",fungus,JL
Crithmum maritimum and others,"samphire, sea Beans/asparagus/pickles, pickleweed",plant,JL
Crocothemis servilia,scarlet skimmer dragonfly,animal,BP
Crocus sativus,saffron,plant,BP
Crotalaria brevidens,mitoo,plant,BP
Crotalaria grahamiana,tum-thang,plant,BP
Ctenopharyngodon idella,grass carp,animal,BP
Cucumis melo,"muskmelon, canteloupe",plant,BP
Cucumis sativus,cucumber,plant,BP
Cucurbita,"squash, pumpkin, gourd",plant,BP
Cucurbita ficifolia,fig-leaf gourd,plant,BP
Cucurbita maxima,winter squash,plant,BP
Cucurbita moschata,"squash, pumpkin",plant,BP
Cucurbita pepo,"pumpkin, summer squash",plant,BP
Cucurbita pepo subsp. Pepo,spaghetti squash,plant,BP
Cucurbita pepo var. turbinata,acorn squash,plant,BP
Curcuma longa,turmeric,plant,BP
Cuminum cyminum,cumin,plant,BP
Cuniculus paca,lowland paca,animal,BP
Cyamopsis tetragonoloba,guar bean,plant,JL
Cyclopterus lumpus,Lumpfish roe,animal,JL
Cymbopogon citratus,lemongrass,plant,BP
Cynara cardunculus,artichoke,plant,BP
Cyperus esculentus†,tiger nut,plant,JL
Cyphomandra betacea,tamarillo,plant,BP
Cyprinus carpio,common carp,animal,BP
Dacryodes edulis,"safou, butterfruit",plant,BP
Daucus carota,wild carrot,plant,BP
Daucus carota subsp. sativus,carrot,plant,BP
Digitaria exilis,fonio,plant,JL
Digitaria iburua,fonio,plant,JL
Dimocarpus longan,longan,plant,BP
Dioscorea,yam,plant,BP
Dioscorea alata,"ube, purple yam",plant,JL
Dissostichus eleginoides,"Patagonian toothfish, Chilean sea bass",animal,JL
Rhodophyta,carageenan,plant,JL
Dromaius novaehollandiae,emu,animal,BP
Durio zibethinus,durian,plant,BP
Echinocereus†,strawberry cactus,plant,JL
Echinopsis,"hedgehog cactus, sea-urchin cactus Easter lily cactus",plant,JL
Elaeis guineensis,oil palm,plant,BP
Eleocharis dulcis,chinese water chestnut,plant,BP
Eleocharis dulcis,water chestnut,plant,JL
Elettaria cardamomum,green cardamom,plant,BP
Eleusine coracana,finger millet,plant,BP
Engraulidae,anchovy,animal,JL
Enydra fluctuans,buffalo spinach,plant,BP
Equus caballus,horse,animal,BP
Eragrostis tef,teff,plant,JL
Eryngium foetidum,culantro,plant,BP
Esox,Pike,animal,JL
Euterpe oleracea,aÁaÌ palm,plant,JL
Fagopyrum esculentum,buckwheat,plant,BP
Delphinidae,dolphin,animal,JL
Platanistidae,dolphin,animal,JL
Iniidae,dolphin,animal,JL
Acipenseridae,"sturgeon, caviar",animal,JL
Asteraceae,thistle,plant,JL
Bramidae,Pomfret,animal,JL
Cardiidae,cockle,animal,JL
Channidae,Snakehead,animal,JL
Clupeidae,"Herring, kazunoko†(roe)",animal,JL
Exocoetidae,"flying fish, tobiko (roe)",animal,JL
Latidae,Asian sea bass,animal,JL
Lithodidae,king crab,animal,JL
Lutjanidae,Snapper,animal,JL
Malacanthidae,tilefish,animal,JL
Merlucciidae,hake,animal,JL
Phycidae,hake,,
Mugilidae,Mullet,animal,JL
Mytilidae,mussel,animal,JL
