superkingdom,kingdom,phylum,order,family,family_color,genus,genus_color,species,species_color
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
NA,NA,NA,NA,NA,#B3B3B3,NA,,NA,
