needs_QC,scientific_name,common_name,alternative_names,category,source
,Alphitobius diaperinus,lesser mealworm,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Aluterus monoceros,filefish,,animal,"FDA The Seafood List, 2023/07/21"
,Aluterus schoepfii,filefish,,animal,"FDA The Seafood List, 2023/07/21"
,Ambloplites cavifrons,bass,roanoke bass,animal,"FDA The Seafood List, 2023/07/21"
,Ambloplites constellatus,bass,ozark bass,animal,"FDA The Seafood List, 2023/07/21"
,Ambloplites rupestris,bass,rock bass,animal,"FDA The Seafood List, 2023/07/21"
,Amblypharyngodon mola,carplet,mola,animal,"FDA The Seafood List, 2023/07/21"
,Amblyraja radiata,skate,thorny skate,animal,"FDA The Seafood List, 2023/07/21"
,Ameiurus catus,catfish,white catfish,animal,"FDA The Seafood List, 2023/07/21"
,Ameiurus melas,bullhead,"black bullhead, catfish",animal,"FDA The Seafood List, 2023/07/21"
,Ameiurus natalis,bullhead,yellow bullhead,animal,"FDA The Seafood List, 2023/07/21"
,Ameiurus nebulosus,bullhead,"brown bullhead, catfish",animal,"FDA The Seafood List, 2023/07/21"
,Ameiurus platycephalus,bullhead,flat bullhead,animal,"FDA The Seafood List, 2023/07/21"
,Amia calva,bowfin,,animal,"FDA The Seafood List, 2023/07/21"
,Ammodytes americanus,sand lance,,animal,"FDA The Seafood List, 2023/07/21"
,Ammodytes dubius,sand lance,,animal,"FDA The Seafood List, 2023/07/21"
,Ammodytes hexapterus,sand lance,,animal,"FDA The Seafood List, 2023/07/21"
,Amphilophus alfari,cichlid,,animal,"FDA The Seafood List, 2023/07/21"
,Amphilophus citrinellus,cichlid,,animal,"FDA The Seafood List, 2023/07/21"
,Amphilophus longimanus,cichlid,carate,animal,"FDA The Seafood List, 2023/07/21"
,Amphioctopus fangsiao,webfoot octopus,,animal,SJ
,Amphistichus argenteus,surfperch,barred surfperch,animal,"FDA The Seafood List, 2023/07/21"
,Amphistichus koelzi,surfperch,calico surfperch,animal,"FDA The Seafood List, 2023/07/21"
,Amphistichus rhodoterus,surfperch,redtail surfperch,animal,"FDA The Seafood List, 2023/07/21"
,Amusium japonicum,scallop,scallop saucer,animal,"FDA The Seafood List, 2023/07/21"
,Amusium papyraceum,scallop,paper scallop,animal,"FDA The Seafood List, 2023/07/21"
,Amusium pleuronectes,scallop,thailand moon scallop,animal,"FDA The Seafood List, 2023/07/21"
,Anabas testudineus,climbing perch,,animal,"FDA The Seafood List, 2023/07/21"
,Anacridium melanorhodon melanorhodon,tree locust,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Anadara baughmani,arkshell,skewed ark,animal,"FDA The Seafood List, 2023/07/21"
,Anadara subcrenata,arkshell,mogai clam,animal,"FDA The Seafood List, 2023/07/21"
,Anaphe panda,silk worm,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Anarhichas denticulatus,wolffish,northern wolffish,animal,"FDA The Seafood List, 2023/07/21"
,Anarhichas lupus,wolffish,atlantic wolffish,animal,"FDA The Seafood List, 2023/07/21"
,Anarhichas minor,wolffish,spotted wolffish,animal,"FDA The Seafood List, 2023/07/21"
,Anarhichas orientalis,wolffish,bering wolffish,animal,"FDA The Seafood List, 2023/07/21"
,Anarrhichthys ocellatus,wolf eel,,animal,SJ
1,Anas,duck,,animal,BP
1,Anas platyrhynchos,mallard duck,,animal,BP
,Anchoa cayorum,anchovy,key anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoa compressa,anchovy,deepbody anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoa delicatissima,anchovy,slough anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoa hepsetus,anchovy,striped anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoa lyolepis,anchovy,dusky anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoa mitchilli,anchovy,bay anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Anchoviella lepidentostole,anchovy,,animal,"FDA The Seafood List, 2023/07/21"
,Anchoviella perfasciata,anchovy,flat anchovy,animal,"FDA The Seafood List, 2023/07/21"
,Ancylopsetta dilecta,flounder,three-eye flounder,animal,"FDA The Seafood List, 2023/07/21"
,Anguilla anguilla,european eel,eel,animal,FAO Cultured Aquatic Species Fact Sheets
,Anguilla australis,eel,short-finned eel,animal,"FDA The Seafood List, 2023/07/21"
,Anguilla dieffenbachii,eel,long-finned eel,animal,"FDA The Seafood List, 2023/07/21"
,Anguilla japonica,japanese eel,eel,animal,FAO Cultured Aquatic Species Fact Sheets
,Anguilla rostrata,freshwater eel,"american eel, eel",animal,"FDA The Seafood List, 2023/07/21"
,Anisotremus davidsonii,grunt,sargo,animal,"FDA The Seafood List, 2023/07/21"
,Anisotremus interruptus,grunt,,animal,"FDA The Seafood List, 2023/07/21"
,Anisotremus surinamensis,grunt,margate,animal,"FDA The Seafood List, 2023/07/21"
,Anisotremus taeniatus,grunt,catalina,animal,"FDA The Seafood List, 2023/07/21"
,Anisotremus virginicus,grunt,porkfish,animal,"FDA The Seafood List, 2023/07/21"
1,Anoplopoma fimbria,sablefish,black cod,animal,JL
,Anser anser,greylag goose,,animal,BP
,Antigonia capros,boarfish,,animal,"FDA The Seafood List, 2023/07/21"
,Antigonia combatia,boarfish,,animal,"FDA The Seafood List, 2023/07/21"
