needs_QC,scientific_name,common_name,alternative_names,category,source
,Lepophidium brevibarbe,cusk-eel,,animal,"FDA The Seafood List, 2023/07/21"
,Lepophidium jeannae,cusk-eel,,animal,"FDA The Seafood List, 2023/07/21"
,Lepophidium profundorum,cusk-eel,,animal,"FDA The Seafood List, 2023/07/21"
,Leporinus obtusidens,boga,,animal,"FDA The Seafood List, 2023/07/21"
,Leptomelanosoma indicum,threadfin,,animal,"FDA The Seafood List, 2023/07/21"
,Lepturacanthus savala,cutlassfish,,animal,"FDA The Seafood List, 2023/07/21"
,Lethocerus indicus,giant water bug,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Lethrinus atlanticus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus erythracanthus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus harak,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus lentjan,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus mahsena,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus microdon,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus miniatus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus nebulosus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus variegatus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Lethrinus xanthochilus,emperor,,animal,"FDA The Seafood List, 2023/07/21"
,Leucoraja erinacea,skate,,animal,"FDA The Seafood List, 2023/07/21"
,Leucoraja garmani,skate,,animal,"FDA The Seafood List, 2023/07/21"
,Leucoraja ocellata,winter skate,skate,animal,NOAA Fisheries
,Leukoma staminea,littleneck clam,clam,animal,Marty Smith
,Leuresthes tenuis,grunion,,animal,"FDA The Seafood List, 2023/07/21"
,Limanda aspera,yellowfin sole,"sole, flounder",animal,NOAA Fisheries
,Limanda ferruginea,yellowtail flounder,"sole, flounder",animal,NOAA Fisheries
,Limanda limanda,flounder,dab,animal,"FDA The Seafood List, 2023/07/21"
,Limanda proboscidea,flounder,dab,animal,"FDA The Seafood List, 2023/07/21"
,Limanda punctatissima,flounder,dab,animal,"FDA The Seafood List, 2023/07/21"
,Liopsetta glacialis,flounder,,animal,"FDA The Seafood List, 2023/07/21"
,Lithodes aequispinus,golden king crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Lithodes antarcticus,centolla crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Lithodes couesi,scarlet crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Lithodes murrayi,murray crab,"crab, centolla crab",animal,"FDA The Seafood List, 2023/07/21"
,Lithodes santolla,santolla crab ,"crab, nova crab, southern red crab",animal,"FDA The Seafood List, 2023/07/21"
1,Lithodidae,king crab,,animal,JL
,Litopenaeus occidentalis,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Litopenaeus schmitti,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Litopenaeus setiferus,atlantic white shrimp,"shrimp, white shrimp",animal,SJ
,Litopenaeus stylirostris,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Litopenaeus vannamei,whiteleg shrimp,shrimp,animal,BP
,Littorina littorea,periwinkle,,animal,JL
,Littorina sitkana,periwinkle,,animal,"FDA The Seafood List, 2023/07/21"
,Liza grandisquamis,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Lobotes pacificus,tripletail,,animal,"FDA The Seafood List, 2023/07/21"
,Lobotes surinamensis,tripletail,,animal,"FDA The Seafood List, 2023/07/21"
,Loligo forbesii,veined squid,,animal,SJ
,Loligo gahi,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Loligo media,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Loligo ocula,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Loligo plei,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Loligo vulgaris,european squid,"squid, calamari",animal,SJ
,Loligo vulgaris reynaudi,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Loliolus beka,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Lolliguncula brevis,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Lolliguncula panamensis,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
1,Lophius,monkfish,,animal,JL
,Lophius americanus,monkfish,,animal,NOAA Fisheries
,Lophius budegassa,blackbellied angler,,animal,SJ
,Lophius gastrophysus,goosefish,,animal,"FDA The Seafood List, 2023/07/21"
,Lophius litulon,monkfish,,animal,"FDA The Seafood List, 2023/07/21"
,Lophius piscatorius,angler,monkfish,animal,SJ
,Lopholatilus chamaeleonticeps,golden tilefish,tilefish,animal,NOAA Fisheries
,Lopholithodes foraminatus,brown box crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Lota lota,burbot,,animal,"FDA The Seafood List, 2023/07/21"
,Lotella rhacina,morid cod,cod,animal,"FDA The Seafood List, 2023/07/21"
,Lottia gigantea,limpet,,animal,"FDA The Seafood List, 2023/07/21"
,Loxorhynchus grandis,sheep crab,crab,animal,"FDA The Seafood List, 2023/07/21"
1,Lutjanidae,snapper,,animal,JL
,Lutjanus agennes,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus analis,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus apodus,schoolmaster,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus aratus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus argentimaculatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus argentiventris,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus bohar,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus buccanella,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus campechanus,red snapper,snapper,animal,NOAA Fisheries
,Lutjanus colorado,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus cyanopterus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus erythropterus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus fulvus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus gibbus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus goreensis,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus griseus,snapper,gray snapper,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus guttatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus inermis,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus jocu,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus johnii,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus jordani,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus kasmira,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus lutjanus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus mahogoni,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus malabaricus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus monostigma,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus novemfasciatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus peru,snapper,pacific snapper,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus purpureus,snapper,caribbean red snapper,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus quinquelineatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus rivulatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus sanguineus,snapper,scarlet snapper,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus sebae,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus stellatus,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus synagris,snapper,lane snapper,animal,"FDA The Seafood List, 2023/07/21"
,Lutjanus vivanus,snapper,silk snapper,animal,"FDA The Seafood List, 2023/07/21"
,Luvarus imperialis,louvar,,animal,"FDA The Seafood List, 2023/07/21"
,Lyopsetta exilis,sole,,animal,"FDA The Seafood List, 2023/07/21"
,Maccullochella peelii,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Macolor macularis,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Macolor niger,snapper,,animal,"FDA The Seafood List, 2023/07/21"
,Macoma nasuta,bentnose clam,clam,animal,"FDA The Seafood List, 2023/07/21"
,Macquaria ambigua,golden perch,,animal,"FDA The Seafood List, 2023/07/21"
,Macrobrachium acanthurus,freshwater shrimp,shrimp,animal,"FDA The Seafood List, 2023/07/21"
,Macrobrachium carcinus,freshwater shrimp,shrimp,animal,"FDA The Seafood List, 2023/07/21"
,Macrobrachium ohione,freshwater shrimp,shrimp,animal,"FDA The Seafood List, 2023/07/21"
,Macrobrachium rosenbergii,giant river prawn,"shrimp, freshwater shrimp",animal,FAO Cultured Aquatic Species Fact Sheets
,Macrocallista maculata,calico clam,clam,animal,"FDA The Seafood List, 2023/07/21"
,Macrocallista nimbosa,venus clam,clam,animal,"FDA The Seafood List, 2023/07/21"
,Macrodon ancylodon,weakfish,bandamary,animal,"FDA The Seafood List, 2023/07/21"
,Macrognathus aculeatus,spiny eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Macropus fuliginosus,western grey kangaroo,"western grey giant kangaroo, black-faced kangaroo, mallee kangaroo, sooty kangaroo",animal,"Newton, ""The Oldest Foods on Earth"""
,Macropus giganteus,eastern grey kangaroo,"great grey kangaroo, forester kangaroo",animal,"Newton, ""The Oldest Foods on Earth"""
,Macrotermes bellicosus,winged termite,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Macrotermes subhyalinus,winged termite,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Macruronus magellanicus,grenadier,"argentine straptail, hualca, hake, whiting",animal,"FDA The Seafood List, 2023/07/21"
,Macruronus novaezelandiae,hoki,"whiting, blue hake, new zealand whiting",animal,SJ
,Mactra sachalinensis,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactrellona alata,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactromeris catilliformis,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactromeris hemphillii,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactromeris polynyma,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactrotoma californica,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactrotoma fragilis,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mactrotoma nasuta,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Magallana gigas,pacific cupped oyster,,animal,FAO Cultured Aquatic Species Fact Sheets
,Maja squinado,spider crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Makaira nigricans,pacific blue marlin,"blue marlin, marlin",animal,NOAA Fisheries
1,Malacanthidae,tilefish,,animal,JL
,Malacanthus plumieri,tilefish,,animal,"FDA The Seafood List, 2023/07/21"
,Malacoraja senta,skate,,animal,"FDA The Seafood List, 2023/07/21"
,Mallotus villosus,capelin,masago (roe),animal,JL
,Manta birostris,manta,,animal,"FDA The Seafood List, 2023/07/21"
,Manta hamiltoni,manta,,animal,"FDA The Seafood List, 2023/07/21"
,Marsupenaeus japonicus,kurama shrimp,shrimp,animal,SJ
,Mastacembelus armatus,spiny eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Medialuna californiensis,halfmoon,,animal,"FDA The Seafood List, 2023/07/21"
1,Medusozoa,jellyfish,,animal,JL
,Megabalanus psittacus,barnacle,,animal,"FDA The Seafood List, 2023/07/21"
,Megalops atlanticus,tarpon,,animal,"FDA The Seafood List, 2023/07/21"
,Meganyctiphanes norvegica,krill,,animal,"FDA The Seafood List, 2023/07/21"
1,Melanogrammus aeglefinus,haddock,,animal,JL
1,Meleagris,turkey,,animal,BP
,Melicertus kerathurus,striped prawn,"prawn, shrimp",animal,SJ
,Melicertus latisulcatus,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Melicertus plebejus,eastern king prawn,shrimp,animal,SJ
,Melichthys niger,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Melophorus bagoti,red honey ant,,animal,"Newton, ""The Oldest Foods on Earth"""
,Mene maculata,moonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Menidia menidia,silverside,,animal,"FDA The Seafood List, 2023/07/21"
,Menippe adina,stone crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Menippe mercenaria,stone crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Menticirrhus americanus,kingfish,,animal,"FDA The Seafood List, 2023/07/21"
,Menticirrhus littoralis,kingfish,,animal,"FDA The Seafood List, 2023/07/21"
,Menticirrhus saxatilis,kingfish,,animal,"FDA The Seafood List, 2023/07/21"
,Menticirrhus undulatus,kingfish,corbina,animal,"FDA The Seafood List, 2023/07/21"
,Mercenaria campechiensis,clam,quahog,animal,"FDA The Seafood List, 2023/07/21"
,Mercenaria mercenaria,northern quahog,"quahog, clam",animal,FAO Cultured Aquatic Species Fact Sheets
,Mercluccius productus,pacific whiting,hake,animal,NOAA Fisheries
,Meretrix lyrata,white hard clam,,animal,"FDA The Seafood List, 2023/07/21"
,Merlangius merlangus,whiting,,animal,JL
1,Merlucciidae,hake,,animal,JL
,Merluccius australis,whiting,,animal,"FDA The Seafood List, 2023/07/21"
,Merluccius bilinearis,silver hake,whiting,animal,NOAA Fisheries
,Merluccius capensis,whiting,cape capensis,animal,"FDA The Seafood List, 2023/07/21"
,Merluccius gayi,whiting,,animal,"FDA The Seafood List, 2023/07/21"
,Merluccius hubbsi,argentine hake,whiting,animal,SJ
,Merluccius merluccius,european hake,whiting,animal,SJ
,Merluccius paradoxus,deep-water cape hake,"hake, whiting",animal,SJ
,Merluccius productus,north pacific hake,"whiting, pacific whiting, north pacific whiting",animal,SJ
,Mesocentrotus franciscanus,red sea urchin,sea urchin,animal,BP
,Metacarcinus edwardsii,rock crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Metacarcinus magister,dungeness crab,crab,animal,JL
,Metanephrops binghami,lobsterette,,animal,"FDA The Seafood List, 2023/07/21"
,Metanephrops challengeri,lobsterette,"baby lobster, scampi, deep sea lobster, bay prawn",animal,"FDA The Seafood List, 2023/07/21"
,Metanephrops rubellus,lobsterette,,animal,"FDA The Seafood List, 2023/07/21"
,Metanephrops thomsoni,lobsterette,,animal,"FDA The Seafood List, 2023/07/21"
,Metapenaeus affinis,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Metapenaeus dobsoni,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Metapenaeus endeavouri,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Metapenaeus ensis,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Metapenaeus monoceros,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Meuschenia galii,leatherjacket,,animal,"FDA The Seafood List, 2023/07/21"
,Meuschenia scaber,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Microchirus variegatus,sole,,animal,"FDA The Seafood List, 2023/07/21"
,Microcosmus sabatieri,sea fig,violet,animal,JL
,Microgadus proximus,tomcod,,animal,"FDA The Seafood List, 2023/07/21"
,Microgadus tomcod,tomcod,,animal,"FDA The Seafood List, 2023/07/21"
,Micromesistius australis,blue whiting,whiting,animal,"FDA The Seafood List, 2023/07/21"
,Micromesistius poutassou,blue whiting,whiting,animal,"FDA The Seafood List, 2023/07/21"
,Micropogonias furnieri,corvina,croaker,animal,"FDA The Seafood List, 2023/07/21"
,Micropogonias undulatus,atlantic croaker,croaker,animal,SJ
,Micropterus dolomieu,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Micropterus notius,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Micropterus punctulatus,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Micropterus salmoides,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Micropterus treculii,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Microstomus achne,flounder,,animal,"FDA The Seafood List, 2023/07/21"
,Microstomus kitt,sole,,animal,"FDA The Seafood List, 2023/07/21"
,Microstomus pacificus,dover sole,sole,animal,NOAA Fisheries
,Miichthys miiuy,croaker,miiuy,animal,"FDA The Seafood List, 2023/07/21"
,Mimachlamys varia,scallop,,animal,"FDA The Seafood List, 2023/07/21"
,Minytrema melanops,carp,,animal,"FDA The Seafood List, 2023/07/21"
,Mizuhopecten yessoensis,yesso scallop,,animal,FAO Cultured Aquatic Species Fact Sheets
,Mobula hypostoma,manta,,animal,"FDA The Seafood List, 2023/07/21"
,Mobula japanica,manta,,animal,"FDA The Seafood List, 2023/07/21"
,Mobula thurstoni,manta,,animal,"FDA The Seafood List, 2023/07/21"
,Modiolus barbatus,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Modiolus modiolus,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Mola mola,ocean sunfish,,animal,"FDA The Seafood List, 2023/07/21"
,Molva dypterygia,ling,,animal,"FDA The Seafood List, 2023/07/21"
,Molva macrophthalma,mediterranean ling,ling,animal,"FDA The Seafood List, 2023/07/21"
,Molva molva,ling,,animal,"FDA The Seafood List, 2023/07/21"
,Monacanthus ciliatus,filefish,,animal,"FDA The Seafood List, 2023/07/21"
,Monochamus versteegi,beetle,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Monodonta turbinata,top shell,,animal,"FDA The Seafood List, 2023/07/21"
,Monomia haanii,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Monopterus albus,eel,,animal,"FDA The Seafood List, 2023/07/21"
,Monotaxis grandoculis,bream,,animal,"FDA The Seafood List, 2023/07/21"
,Mora moro,morid cod,cod,animal,"FDA The Seafood List, 2023/07/21"
,Morone americana,white perch,perch,animal,"FDA The Seafood List, 2023/07/21"
,Morone chrysops,white bass,bass,animal,SJ
,Morone chrysops x Morone saxatilis,striped bass hybrid,"sunshine bass, hybrid white bass, striped bass, bass",animal,FAO Cultured Aquatic Species Fact Sheets
,Morone mississippiensis,bass,,animal,"FDA The Seafood List, 2023/07/21"
,Morone saxatilis,striped bass,bass,animal,JL
,Morone saxatilis x Morone chrysops,bass,"hybrid striped bass, white bass",animal,"FDA The Seafood List, 2023/07/21"
,Moxostoma macrolepidotum,sucker,redhorse,animal,"FDA The Seafood List, 2023/07/21"
,Mugil cephalus,flathead grey mullet,mullet,animal,FAO Cultured Aquatic Species Fact Sheets
,Mugil curema,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil gaimardianus,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil gyrans,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil hospes,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil incilis,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil liza,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mugil thoburni,mullet,,animal,"FDA The Seafood List, 2023/07/21"
1,Mugilidae,mullet,,animal,JL
,Mugiloides chilensis,sandperch,,animal,"FDA The Seafood List, 2023/07/21"
,Mugiloides fasciatus,sandperch,,animal,"FDA The Seafood List, 2023/07/21"
,Mulinia edulis,surfclam,,animal,"FDA The Seafood List, 2023/07/21"
,Mulloidichthys dentatus,goatfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mulloidichthys flavolineatus,goatfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mulloidichthys martinicus,goatfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mulloidichthys vanicolensis,goatfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mullus auratus,goatfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mullus barbatus,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Mullus surmuletus,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Munida gregaria,langostino,langostino lobster,animal,"FDA The Seafood List, 2023/07/21"
,Muraena helena,moray eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Muraena melanotis,moray eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Muraena retifera,moray eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Muraena robusta,moray eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Muraenesox cinereus,pike-conger eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Mustelus antarcticus,dogfish shark,"shark, cape shark",animal,"FDA The Seafood List, 2023/07/21"
,Mustelus californicus,shark,smoothhound,animal,"FDA The Seafood List, 2023/07/21"
,Mustelus canis,dogfish shark,"shark, cape shark",animal,"FDA The Seafood List, 2023/07/21"
,Mustelus henlei,shark,smoothhound,animal,"FDA The Seafood List, 2023/07/21"
,Mustelus lenticulatus,dogfish shark,"shark, cape shark",animal,"FDA The Seafood List, 2023/07/21"
,Mya arenaria,soft-shell clam,clam,animal,SJ
,Mycteroperca bonaci,black grouper,grouper,animal,NOAA Fisheries
,Mycteroperca interstitialis,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca jordani,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca microlepis,gag grouper,"gag, grouper",animal,NOAA Fisheries
,Mycteroperca phenax,grouper,scamp,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca rubra,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca tigris,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca venenosa,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Mycteroperca xenarcha,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Myleus pacu,pacu,,animal,"FDA The Seafood List, 2023/07/21"
,Myliobatis californica,bat ray,ray,animal,"FDA The Seafood List, 2023/07/21"
,Myliobatis freminvillii,bullnose ray,ray,animal,"FDA The Seafood List, 2023/07/21"
,Myliobatis goodei,eagle ray,ray,animal,"FDA The Seafood List, 2023/07/21"
,Mylocheilus caurinus,peamouth,"peamouth chub, redmouth sucker, northwestern dace",animal,"FDA The Seafood List, 2023/07/21"
,Mylopharyngodon piceus,carp,,animal,"FDA The Seafood List, 2023/07/21"
,Myoxocephalus polyacanthocephalus,sculpin,,animal,"FDA The Seafood List, 2023/07/21"
,Myripristis amaena,squirrelfish,,animal,"FDA The Seafood List, 2023/07/21"
,Myripristis berndti,squirrelfish,,animal,"FDA The Seafood List, 2023/07/21"
,Mystus vittatus,striped dwarf fish,striped dwarf catfish,animal,"FDA The Seafood List, 2023/07/21"
,Mytilus californianus,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Mytilus chilensis,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Mytilus edulis,blue mussel,mussel,animal,BP
,Mytilus galloprovicialis x Mytilus edulis,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Mytilus galloprovincalis,mediterranean mussel,,animal,FAO Cultured Aquatic Species Fact Sheets
,Mytilus galloprovincialis,mussel,,animal,"FDA The Seafood List, 2023/07/21"
,Myxine glutinosa,hagfish,,animal,"FDA The Seafood List, 2023/07/21"
,Nandus nandus,leaffish,,animal,"FDA The Seafood List, 2023/07/21"
,Narcine brasiliensis,electric ray,ray,animal,"FDA The Seafood List, 2023/07/21"
,Naso unicornis,unicornfish,,animal,"FDA The Seafood List, 2023/07/21"
1,Nautilus,nautilus,,animal,JL
,Navodon australis,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Nebris microps,croaker,,animal,"FDA The Seafood List, 2023/07/21"
,Negaprion brevirostris,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Nemadactylus bergi,morwong,,animal,"FDA The Seafood List, 2023/07/21"
,Nemadactylus carponotatus,morwong,,animal,"FDA The Seafood List, 2023/07/21"
,Nemadactylus douglasii,morwong,,animal,"FDA The Seafood List, 2023/07/21"
,Nemadactylus macropterus,tarakihi,morwong,animal,"FDA The Seafood List, 2023/07/21"
,Nematalosa vlaminghi,gizzard shad,shad,animal,"FDA The Seafood List, 2023/07/21"
,Nematistius pectoralis,jack,roosterfish,animal,"FDA The Seafood List, 2023/07/21"
1,Nematognathi,catfish,,animal,JL
,Nemipterus bipunctatus,threadfin bream,,animal,"FDA The Seafood List, 2023/07/21"
,Nemipterus furcosus,threadfin bream,bream,animal,"FDA The Seafood List, 2023/07/21"
,Nemipterus hexodon,threadfin bream,bream,animal,"FDA The Seafood List, 2023/07/21"
,Nemipterus japonicus,threadfin bream,bream,animal,"FDA The Seafood List, 2023/07/21"
,Nemipterus mesoprion,threadfin bream,bream,animal,"FDA The Seafood List, 2023/07/21"
,Nemipterus virgatus,threadfin bream,bream,animal,"FDA The Seafood List, 2023/07/21"
,Neogobius melanostomus,goby,,animal,"FDA The Seafood List, 2023/07/21"
,Neolithodes brodiei,lithodes crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Neomyxus leuciscus,mullet,,animal,"FDA The Seafood List, 2023/07/21"
,Neotropius acutirostris,batashi,,animal,"FDA The Seafood List, 2023/07/21"
,Nephrops norvegicus,norway lobster,lobster,animal,SJ
,Nephropsis aculeata,lobsterette,,animal,"FDA The Seafood List, 2023/07/21"
,Nesiarchus nasutus,gemfish,,animal,"FDA The Seafood List, 2023/07/21"
,Netuma thalassinus,giant whiskered fish,"giant catfish, whiskered fish",animal,"FDA The Seafood List, 2023/07/21"
,Nezara viridula,southern green stink bug,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Nezumia bairdii,grenadier,,animal,"FDA The Seafood List, 2023/07/21"
,Notacanthus chemnitzii,spiny eel,eel,animal,"FDA The Seafood List, 2023/07/21"
,Notamacropus agilis,agile wallaby,sandy wallaby,animal,"Newton, ""The Oldest Foods on Earth"""
,Notopterus notopterus,featherback,,animal,"FDA The Seafood List, 2023/07/21"
,Notorynchus cepedianus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Nototodarus sloanii,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Ocenebra japonica,snail,,animal,"FDA The Seafood List, 2023/07/21"
1,Octopoda,octopus,,animal,JL
,Octopus insularis,octopus,,animal,"FDA The Seafood List, 2023/07/21"
,Octopus membranaceus,octopus,,animal,"FDA The Seafood List, 2023/07/21"
,Octopus minor,long arm octopus,,animal,SJ
,Octopus vulgaris,octopus,,animal,"FDA The Seafood List, 2023/07/21"
,Ocyphaps lophotes,crested pigeon,,animal,"Newton, ""The Oldest Foods on Earth"""
,Ocyurus chrysurus,snapper,yellowtail snapper,animal,"FDA The Seafood List, 2023/07/21"
,Odax pullus,butterfish,,animal,"FDA The Seafood List, 2023/07/21"
,Odobenus rosmarus,walrus,,animal,SJ
,Odocoileus virginianus,white-tailed deer,,animal,BP
,Odontesthes regia,silverside,,animal,"FDA The Seafood List, 2023/07/21"
,Odontoscion dentex,croaker,,animal,"FDA The Seafood List, 2023/07/21"
,Odonus niger,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Oecophylla smaragdina,asian weaver ant,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Oligoplites saurus,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Ommastrephes bartramii,squid,calamari,animal,"FDA The Seafood List, 2023/07/21"
,Ompok pabda,pabdah fish,pabdah catfish,animal,"FDA The Seafood List, 2023/07/21"
,Oncorhynchus aguabonita,trout,,animal,"FDA The Seafood List, 2023/07/21"
